Time,Moisture,Light,Temp
1/1/1970-0:0:48,1023,449,156
1/1/1970-0:0:54,1023,454,156
1/1/1970-0:1:0,1023,472,156
1/1/1970-0:1:6,1023,461,156
1/1/1970-0:1:12,1023,447,156
1/1/1970-0:1:18,1023,439,156
1/1/1970-0:1:24,1023,458,156
1/1/1970-0:1:30,1023,466,157
1/1/1970-0:1:36,1023,459,156
1/1/1970-0:1:42,1023,457,156
1/1/1970-0:1:48,1023,452,156
1/1/1970-0:1:54,1023,467,156
1/1/1970-0:2:0,1023,444,157
1/1/1970-0:2:6,1023,467,156
1/1/1970-0:2:12,1023,461,156
1/1/1970-0:2:18,1023,455,157
1/1/1970-0:2:24,1023,473,156
1/1/1970-0:2:30,1023,467,157
1/1/1970-0:2:36,1023,454,156
1/1/1970-0:2:42,1023,475,157
1/1/1970-0:2:48,1023,467,156
1/1/1970-0:2:54,1023,467,157
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,477,153
1/1/1970-0:0:6,1023,450,154
1/1/1970-0:0:12,1023,477,154
1/1/1970-0:0:18,1023,463,155
1/1/1970-0:0:24,1023,476,155
1/1/1970-0:0:30,1023,449,154
1/1/1970-0:0:36,1023,467,154
1/1/1970-0:0:42,1023,472,155
1/1/1970-0:0:48,1023,445,154
1/1/1970-0:0:54,1023,458,154
1/1/1970-0:1:0,1023,470,155
1/1/1970-0:1:6,1023,485,155
1/1/1970-0:1:12,1023,502,155
1/1/1970-0:1:18,1023,482,155
1/1/1970-0:1:24,1023,464,155
1/1/1970-0:1:30,1023,489,155
1/1/1970-0:1:36,1005,465,155
1/1/1970-0:1:42,1023,462,155
1/1/1970-0:1:48,1023,481,154
1/1/1970-0:1:54,1023,532,153
Time,Moisture,Light,Temp
0/0/1970-0:0:0,1011,468,156
1/1/1970-0:0:6,948,484,155
1/1/1970-0:0:12,937,476,155
1/1/1970-0:0:18,1023,446,155
1/1/1970-0:0:24,1023,474,155
1/1/1970-0:0:30,1023,466,155
1/1/1970-0:0:36,1023,451,154
1/1/1970-0:0:42,1023,462,155
1/1/1970-0:0:48,1023,451,155
1/1/1970-0:0:54,1023,475,154
1/1/1970-0:1:0,1023,488,154
1/1/1970-0:1:6,1023,456,155
1/1/1970-0:1:12,1023,477,155
1/1/1970-0:1:18,1023,463,154
1/1/1970-0:1:24,1023,453,155
1/1/1970-0:1:30,1023,482,155
1/1/1970-0:1:36,1023,472,154
1/1/1970-0:1:42,1023,468,155
1/1/1970-0:1:48,1023,449,155
1/1/1970-0:1:54,1023,483,155
1/1/1970-0:2:0,1023,453,154
1/1/1970-0:2:6,1023,471,155
1/1/1970-0:2:12,1023,470,154
1/1/1970-0:2:18,1023,446,154
1/1/1970-0:2:24,1023,475,154
1/1/1970-0:2:30,1023,468,154
1/1/1970-0:2:37,1023,448,155
1/1/1970-0:2:43,1023,482,155
1/1/1970-0:2:49,1023,467,155
